FIPS,state,county,buildings,minimal_exposure,indirect_exposure,direct_exposure,burn_probability,wildfire_risk,population,svi,svi_socioeconomic,svi_household,svi_minority,svi_housing_transport,county_label,svi_quartile,high_high,compound_priority
16079,ID,"Shoshone County, ID",10952,0,0.540540541,0.459459459,0.722,0.814,13399,0.7493,0.8416,0.7359,0.3166,0.5877,"Shoshone County, ID",Q3,FALSE,0.78165
16081,ID,"Teton County, ID",8572,0.007816146,0.134391041,0.857792814,0.823,0.836,11813,0.2052,0.4041,0.0932,0.5294,0.1266,"Teton County, ID",Q1: Least vulnerable,FALSE,0.5206
16083,ID,"Twin Falls County, ID",45802,0.571372429,0.100650627,0.327976944,0.971,0.966,90592,0.5756,0.6185,0.6405,0.5854,0.3837,"Twin Falls County, ID",Q3,FALSE,0.7707999999999999
16085,ID,"Valley County, ID",15996,0.010752688,0.165541385,0.823705926,0.985,0.984,11830,0.1365,0.482,0.043,0.0025,0.1196,"Valley County, ID",Q1: Least vulnerable,FALSE,0.56025
16087,ID,"Washington County, ID",10196,0.084641036,0.424382111,0.490976854,0.985,0.973,10612,0.9093,0.8186,0.9987,0.5501,0.6577,"Washington County, ID",Q4: Most vulnerable,TRUE,0.9411499999999999
17001,IL,"Adams County, IL",47004,0.668751596,0.087822313,0.243426091,0.174,0.17,65583,0.2965,0.1343,0.4849,0.2628,0.6481,"Adams County, IL",Q2,FALSE,0.23325
17003,IL,"Alexander County, IL",5929,0.192949907,0.355877888,0.451172204,0.238,0.227,5261,0.8941,0.9052,0.8521,0.7423,0.7509,"Alexander County, IL",Q4: Most vulnerable,FALSE,0.56055
17005,IL,"Bond County, IL",14436,0.255195345,0.26967304,0.475131615,0.114,0.108,16750,0.5253,0.3159,0.2167,0.3888,0.9736,"Bond County, IL",Q3,FALSE,0.31665
17007,IL,"Boone County, IL",27055,0.741082979,0.002587322,0.256329699,0.042,0.043,53459,0.4655,0.5189,0.6465,0.658,0.174,"Boone County, IL",Q2,FALSE,0.25425000000000003
17009,IL,"Brown County, IL",5833,0.020058289,0.512943597,0.466998114,0.142,0.14,6334,0.4753,0.2469,0.2199,0.6013,0.9144,"Brown County, IL",Q2,FALSE,0.30765
